user_index,weights,status,elapsed,objectives
5,"[1000000000.0, 0.001, 1000000.0, 1000.0, 1.0]",ExitStatus.OPTIMAL,3.402578830718994,"{'makespan': 0.22444444444444445, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.31666666666666665}"
6,"[1000000000.0, 1000.0, 0.001, 1000000.0, 1.0]",ExitStatus.OPTIMAL,4.157634973526001,"{'makespan': 0.22444444444444445, 'workstations': 5, 'employees': 3, 'robots': 0, 'employee_time': 0.3422222222222222}"
7,"[1.0, 1000000000.0, 1000000.0, 0.001, 1000.0]",ExitStatus.OPTIMAL,1.1403403282165527,"{'makespan': 0.5377777777777778, 'workstations': 3, 'employees': 1, 'robots': 2, 'employee_time': 0.4766666666666667}"
8,"[1000.0, 1.0, 0.001, 1000000.0, 1000000000.0]",ExitStatus.OPTIMAL,0.9988093376159668,"{'makespan': 0.5777777777777777, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.028888888888888888}"
9,"[1000.0, 1000000000.0, 1000000.0, 0.001, 1.0]",ExitStatus.OPTIMAL,1.2774076461791992,"{'makespan': 0.5325, 'workstations': 3, 'employees': 1, 'robots': 3, 'employee_time': 0.5311111111111111}"
10,"[1000000000.0, 1.0, 1000000.0, 1000.0, 0.001]",ExitStatus.OPTIMAL,3.0688722133636475,"{'makespan': 0.22444444444444445, 'workstations': 6, 'employees': 2, 'robots': 0, 'employee_time': 0.32}"
11,"[1000.0, 0.001, 1.0, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,0.9914591312408447,"{'makespan': 0.5377777777777778, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.04555555555555556}"
12,"[1000.0, 1.0, 0.001, 1000000000.0, 1000000.0]",ExitStatus.OPTIMAL,0.9708526134490967,"{'makespan': 0.5377777777777778, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.04555555555555556}"
13,"[1000.0, 1.0, 1000000.0, 0.001, 1000000000.0]",ExitStatus.OPTIMAL,0.9398458003997803,"{'makespan': 0.5777777777777777, 'workstations': 7, 'employees': 1, 'robots': 1, 'employee_time': 0.028888888888888888}"
14,"[1.0, 1000000.0, 0.001, 1000.0, 1000000000.0]",ExitStatus.OPTIMAL,0.9212489128112793,"{'makespan': 1.001111111111111, 'workstations': 5, 'employees': 1, 'robots': 3, 'employee_time': 0.028888888888888888}"
30,"[1.0, 63.841675, 1.0, 36.158325, 1.0]",ExitStatus.OPTIMAL,21.86444926261902,"{'makespan': 0.5166666666666667, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 0.5}"
31,"[1.0, 100.0, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,15.733145713806152,"{'makespan': 0.5166666666666667, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 0.5}"
32,"[17.911133, 46.571021, 17.522982, 1.0, 17.994863]",ExitStatus.OPTIMAL,385.88178038597107,"{'makespan': 0.5166666666666667, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 0.5}"
33,"[23.336567, 1.0, 54.515705, 1.0, 22.147728]",ExitStatus.OPTIMAL,1.4678833484649658,"{'makespan': 0.30444444444444446, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.0811111111111111}"
34,"[38.083746, 1.0, 1.0, 1.0, 61.916254]",ExitStatus.OPTIMAL,2.6610634326934814,"{'makespan': 0.30333333333333334, 'workstations': 5, 'employees': 1, 'robots': 1, 'employee_time': 0.06444444444444444}"
35,"[38.621632, 1.0, 1.0, 61.378368, 1.0]",ExitStatus.OPTIMAL,6.881746053695679,"{'makespan': 0.22777777777777777, 'workstations': 5, 'employees': 2, 'robots': 0, 'employee_time': 0.3422222222222222}"
36,"[54.476421, 1.0, 1.0, 22.531301, 22.992278]",ExitStatus.OPTIMAL,2.5321812629699707,"{'makespan': 0.3022222222222222, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.08444444444444445}"
37,"[59.470827, 40.529173, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,4.440830945968628,"{'makespan': 0.42666666666666664, 'workstations': 3, 'employees': 2, 'robots': 0, 'employee_time': 0.5444444444444444}"
38,"[62.376987, 1.0, 37.623013, 1.0, 1.0]",ExitStatus.OPTIMAL,4.920067071914673,"{'makespan': 0.27111111111111114, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.23777777777777778}"
39,"[100.0, 1.0, 1.0, 1.0, 1.0]",ExitStatus.OPTIMAL,5.209610462188721,"{'makespan': 0.22777777777777777, 'workstations': 5, 'employees': 2, 'robots': 0, 'employee_time': 0.3422222222222222}"
