,iter,obj 1,obj 2,picked,user_feedback,time 1,time 2,Regret
0,1,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 3.577777777777778, 'workstations': 14, 'employees': 4, 'robots': 4, 'employee_time': 0.057777777777777775}",0,correct,3.370128631591797,0.5389940738677979,0.5284907908583725
1,2,"{'makespan': 1.0166666666666666, 'workstations': 3, 'employees': 1, 'robots': 0, 'employee_time': 1.0}","{'makespan': 0.5166666666666667, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.39444444444444443}",1,correct,2.2712881565093994,30.28879475593567,0.5284907908583725
2,3,"{'makespan': 0.41, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.28}","{'makespan': 0.4172222222222222, 'workstations': 9, 'employees': 1, 'robots': 0, 'employee_time': 0.2288888888888889}",1,wrong,27.374544620513916,30.417035341262817,0.0110074772625686
3,4,"{'makespan': 0.4077777777777778, 'workstations': 8, 'employees': 1, 'robots': 0, 'employee_time': 0.21777777777777776}","{'makespan': 0.40555555555555556, 'workstations': 14, 'employees': 1, 'robots': 0, 'employee_time': 0.24333333333333335}",0,correct,2.9683899879455566,30.050403833389282,0.037188103439858455
4,5,"{'makespan': 0.6522222222222223, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.49777777777777776}","{'makespan': 0.5602777777777778, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.4888888888888889}",1,correct,14.489703178405762,30.31628394126892,0.20493429303292798
5,6,"{'makespan': 0.46444444444444444, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.16555555555555557}","{'makespan': 0.46444444444444444, 'workstations': 8, 'employees': 1, 'robots': 0, 'employee_time': 0.13777777777777778}",0,correct,30.689008235931396,26.092995643615723,0.05876041574077601
6,7,"{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}","{'makespan': 0.46444444444444444, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.16555555555555557}",1,correct,27.930145978927612,30.121190786361694,0.103663994034909
7,8,"{'makespan': 0.41, 'workstations': 6, 'employees': 1, 'robots': 0, 'employee_time': 0.28}","{'makespan': 0.3988888888888889, 'workstations': 8, 'employees': 1, 'robots': 1, 'employee_time': 0.2922222222222222}",0,correct,30.469579458236694,30.223806381225586,0.0110074772625686
8,9,"{'makespan': 0.6122222222222222, 'workstations': 4, 'employees': 1, 'robots': 0, 'employee_time': 0.5955555555555555}","{'makespan': 0.53, 'workstations': 5, 'employees': 1, 'robots': 0, 'employee_time': 0.1622222222222222}",1,correct,17.876834392547607,30.127962589263916,0.17004980184193058
9,10,"{'makespan': 0.46444444444444444, 'workstations': 7, 'employees': 1, 'robots': 0, 'employee_time': 0.14444444444444443}","{'makespan': 0.4822222222222222, 'workstations': 9, 'employees': 1, 'robots': 0, 'employee_time': 0.12}",0,correct,20.883403539657593,27.62080192565918,0.07300478089087602
